timestamp,load,ram_usage
326428040,0.4559,0.861721
327430047,0.534044,0.862596
328430221,0.528382,0.862596
329432514,0.534204,0.862596
330434369,0.528403,0.862596
331435270,0.526626,0.862596
332437158,0.523149,0.862596
333438083,0.52539,0.862596
334440063,0.524902,0.862596
335441108,0.52862,0.862596
336442801,0.52899,0.862596
337444039,0.527677,0.862596
338445302,0.518805,0.862596
339446073,0.524461,0.862596
340447040,0.523283,0.862596
341449775,0.523525,0.862596
342451139,0.524339,0.862596
343452338,0.568278,0.862596
344453184,0.579013,0.862596
345453039,0.57071,0.862596
346454103,0.510336,0.862596
347455114,0.516744,0.862596
348456477,0.526903,0.862596
349457143,0.521719,0.862596
350458072,0.519712,0.862596
351459046,0.51916,0.862596
352461500,0.520458,0.862596
353462112,0.518493,0.862596
354463566,0.513563,0.862596
355464144,0.521806,0.862596
357466862,0.508249,0.862596
358468039,0.51654,0.862596
359469537,0.52258,0.862596
360470039,0.526364,0.862596
361472368,0.513426,0.862596
362473749,0.522121,0.862596
363477219,0.522994,0.862596
364477039,0.522536,0.862596
365478575,0.519393,0.862596
366479046,0.517254,0.862596
367480682,0.518198,0.862596
368481079,0.519735,0.862596
369482039,0.525376,0.862596
370484052,0.521439,0.862596
371485067,0.544139,0.862596
372486046,0.551946,0.862596
373487123,0.52229,0.862596
374489462,0.522728,0.862596
375490108,0.527719,0.862596
376493107,0.51921,0.862596
377493704,0.520248,0.862596
378494039,0.519475,0.862596
379495883,0.522867,0.862596
380497039,0.521427,0.862596
381498062,0.520113,0.862596
382499152,0.522161,0.862596
383500039,0.518518,0.862596
384501279,0.555693,0.862596
385503536,0.567546,0.862596
386505319,0.581192,0.862596
387506040,0.57973,0.862596
388508324,0.578268,0.862596
389509039,0.575721,0.862596
390510202,0.579117,0.862596
391511039,0.573926,0.862596
392512039,0.569838,0.862596
393513039,0.572487,0.862596
394514546,0.579676,0.862596
395515201,0.521798,0.862596
396516756,0.518169,0.862596
397517039,0.522844,0.862596
398518390,0.520551,0.862596
399519040,0.515275,0.862596
400520219,0.536231,0.862596
401521039,0.574352,0.862596
402522039,0.573619,0.862596
403525410,0.571226,0.862596
404527658,0.562201,0.862596
405528135,0.526888,0.862596
406529803,0.549813,0.862596
407530760,0.578855,0.862596
408531081,0.595448,0.862596
409532039,0.59642,0.862596
410538909,0.59384,0.862596
411541828,0.593738,0.862596
412542069,0.592755,0.862596
413543347,0.597496,0.862596
414544421,0.595653,0.862596
415545909,0.591261,0.862596
416547079,0.599892,0.862596
417550495,0.601047,0.862596
418553348,0.599513,0.862596
419555873,0.603812,0.862596
420557039,0.599887,0.862596
421560312,0.601736,0.862596
422563046,0.598241,0.862596
423564218,0.593392,0.862596
424567910,0.602748,0.862596
